Tipo de gol,Club,Minuto,Texto,id_jornada,nombre_visita
Gol a favor,Alajuelense,75,Jornada 2: Alajuelense  vs. LIMÓN,2,LIMÓN
Gol a favor,Alajuelense,92,Jornada 2: Alajuelense  vs. LIMÓN,2,LIMÓN
Gol a favor,Alajuelense,68,Jornada 3: Alajuelense  vs. LIBERIA,3,LIBERIA
Gol a favor,Alajuelense,89,Jornada 5: Alajuelense  vs. PÉREZ ZELEDÓN,5,PÉREZ ZELEDÓN
Gol a favor,Alajuelense,93,Jornada 5: Alajuelense  vs. PÉREZ ZELEDÓN,5,PÉREZ ZELEDÓN
Gol a favor,Alajuelense,23,Jornada 8: Alajuelense  vs. SAPRISSA,8,SAPRISSA
Gol a favor,Alajuelense,7,Jornada 11: Alajuelense  vs. UCR,11,UCR
Gol a favor,Alajuelense,50,Jornada 11: Alajuelense  vs. UCR,11,UCR
Gol a favor,Alajuelense,58,Jornada 11: Alajuelense  vs. UCR,11,UCR
Gol a favor,Alajuelense,67,Jornada 12: Alajuelense  vs. SANTOS,12,SANTOS
Gol a favor,Alajuelense,85,Jornada 12: Alajuelense  vs. SANTOS,12,SANTOS
Gol a favor,Alajuelense,22,Jornada 21: Alajuelense  vs. SAN CARLOS,21,SAN CARLOS
Gol a favor,Alajuelense,58,Jornada 21: Alajuelense  vs. SAN CARLOS,21,SAN CARLOS
Gol a favor,Alajuelense,75,Jornada 27: Alajuelense  vs. SANTOS,27,SANTOS
Gol a favor,Alajuelense,80,Jornada 27: Alajuelense  vs. SANTOS,27,SANTOS
Gol en contra,Saprissa,23,Jornada 8: ALAJUELENSE  vs. Saprissa,8,ALAJUELENSE
Gol en contra,Saprissa,19,Jornada 9: BELÉN  vs. Saprissa,9,BELÉN
Gol en contra,Saprissa,45,Jornada 9: BELÉN  vs. Saprissa,9,BELÉN
Gol en contra,Saprissa,11,Jornada 11: LIBERIA  vs. Saprissa,11,LIBERIA
Gol en contra,Saprissa,10,Jornada 12: SAN CARLOS  vs. Saprissa,12,SAN CARLOS
Gol en contra,Saprissa,45,Jornada 12: SAN CARLOS  vs. Saprissa,12,SAN CARLOS
Gol en contra,Saprissa,17,Jornada 14: CARMELITA  vs. Saprissa,14,CARMELITA
Gol en contra,Saprissa,24,Jornada 14: CARMELITA  vs. Saprissa,14,CARMELITA
Gol en contra,Saprissa,45,Jornada 14: CARMELITA  vs. Saprissa,14,CARMELITA
Gol en contra,Saprissa,83,Jornada 14: CARMELITA  vs. Saprissa,14,CARMELITA
Gol en contra,Saprissa,77,Jornada 17: HEREDIANO  vs. Saprissa,17,HEREDIANO
Gol en contra,Saprissa,78,Jornada 17: HEREDIANO  vs. Saprissa,17,HEREDIANO
Gol en contra,Saprissa,4,Jornada 21: PÉREZ ZELEDÓN  vs. Saprissa,21,PÉREZ ZELEDÓN
Gol en contra,Saprissa,8,Jornada 27: HEREDIANO  vs. Saprissa,27,HEREDIANO
Gol en contra,Saprissa,11,Jornada 27: HEREDIANO  vs. Saprissa,27,HEREDIANO
