Tipo de gol,nombre_visita,Minuto,TextoSap,id_jornada,nombre_local
Gol a favor,Saprissa,48,Jornada 2: UCR  vs. Saprissa,2,UCR
Gol a favor,Saprissa,78,Jornada 2: UCR  vs. Saprissa,2,UCR
Gol a favor,Saprissa,80,Jornada 2: UCR  vs. Saprissa,2,UCR
Gol a favor,Saprissa,44,Jornada 5: LIMÓN  vs. Saprissa,5,LIMÓN
Gol a favor,Saprissa,45,Jornada 5: LIMÓN  vs. Saprissa,5,LIMÓN
Gol a favor,Saprissa,67,Jornada 7: SANTOS  vs. Saprissa,7,SANTOS
Gol a favor,Saprissa,14,Jornada 8: ALAJUELENSE  vs. Saprissa,8,ALAJUELENSE
Gol a favor,Saprissa,37,Jornada 8: ALAJUELENSE  vs. Saprissa,8,ALAJUELENSE
Gol a favor,Saprissa,38,Jornada 9: BELÉN  vs. Saprissa,9,BELÉN
Gol a favor,Saprissa,74,Jornada 9: BELÉN  vs. Saprissa,9,BELÉN
Gol a favor,Saprissa,10,Jornada 11: LIBERIA  vs. Saprissa,11,LIBERIA
Gol a favor,Saprissa,30,Jornada 11: LIBERIA  vs. Saprissa,11,LIBERIA
Gol a favor,Saprissa,46,Jornada 11: LIBERIA  vs. Saprissa,11,LIBERIA
Gol a favor,Saprissa,53,Jornada 11: LIBERIA  vs. Saprissa,11,LIBERIA
Gol a favor,Saprissa,36,Jornada 14: CARMELITA  vs. Saprissa,14,CARMELITA
Gol a favor,Saprissa,80,Jornada 14: CARMELITA  vs. Saprissa,14,CARMELITA
Gol a favor,Saprissa,89,Jornada 14: CARMELITA  vs. Saprissa,14,CARMELITA
Gol a favor,Saprissa,68,Jornada 17: HEREDIANO  vs. Saprissa,17,HEREDIANO
Gol a favor,Saprissa,49,Jornada 21: PÉREZ ZELEDÓN  vs. Saprissa,21,PÉREZ ZELEDÓN
Gol a favor,Saprissa,83,Jornada 21: PÉREZ ZELEDÓN  vs. Saprissa,21,PÉREZ ZELEDÓN
Gol a favor,Saprissa,45,Jornada 25: SANTOS  vs. Saprissa,25,SANTOS
Gol a favor,Saprissa,69,Jornada 25: SANTOS  vs. Saprissa,25,SANTOS
Gol a favor,Saprissa,84,Jornada 27: HEREDIANO  vs. Saprissa,27,HEREDIANO
Gol en contra,Alajuelense,72,Jornada 5: Alajuelense  vs. PÉREZ ZELEDÓN,5,PÉREZ ZELEDÓN
Gol en contra,Alajuelense,69,Jornada 7: Alajuelense  vs. BELÉN,7,BELÉN
Gol en contra,Alajuelense,14,Jornada 8: Alajuelense  vs. SAPRISSA,8,SAPRISSA
Gol en contra,Alajuelense,37,Jornada 8: Alajuelense  vs. SAPRISSA,8,SAPRISSA
Gol en contra,Alajuelense,28,Jornada 9: Alajuelense  vs. CARMELITA,9,CARMELITA
Gol en contra,Alajuelense,77,Jornada 11: Alajuelense  vs. UCR,11,UCR
Gol en contra,Alajuelense,88,Jornada 11: Alajuelense  vs. UCR,11,UCR
Gol en contra,Alajuelense,44,Jornada 15: Alajuelense  vs. HEREDIANO,15,HEREDIANO
Gol en contra,Alajuelense,82,Jornada 17: Alajuelense  vs. CARTAGINÉS,17,CARTAGINÉS
Gol en contra,Alajuelense,70,Jornada 21: Alajuelense  vs. SAN CARLOS,21,SAN CARLOS
Gol en contra,Alajuelense,46,Jornada 27: Alajuelense  vs. SANTOS,27,SANTOS
