club,cuadrangular,golesAnotados,golesAnotadosLocal,golesAnotadosVisita,golesContra,golesContraLocal,golesContraVisita,puntos,puntosLocal,puntosVisita
San Carlos,descalificado,16,11,5,34,14,20,17,14,3
Liberia,descalificado,27,16,11,34,14,20,19,15,4
UCR,descalificado,31,15,16,38,18,20,22,13,11
Belén FC,descalificado,28,14,14,38,20,18,23,13,10
Pérez Zeledón,descalificado,26,18,8,27,8,19,24,21,3
Carmelita,descalificado,22,13,9,33,14,19,26,17,8
Limón FC,descalificado,22,13,9,39,16,23,31,20,11
Cartaginés,descalificado,35,21,14,31,15,16,33,17,16
Santos,cuadrangular,30,16,14,27,8,19,35,19,16
Alajuelense,cuadrangular,31,13,18,20,10,10,39,18,21
Herediano,cuadrangular,44,29,15,24,11,13,44,29,16
Saprissa,cuadrangular,52,31,21,19,6,13,49,29,20
